Rrs[¦È_0,0,0](555)  Rrs[¦È_0,0,0](659)  Rrs[¦È_0,0,0](865)  Rrs[¦È_0,0,0](1375)  Rrs[¦È_0,0,0](1610)  Rrs[¦È_0,0,0](2250)  Rrs[¦È_0,¦È,¦¤¦Õ](555)  Rrs[¦È_0,¦È,¦¤¦Õ](659)  Rrs[¦È_0,¦È,¦¤¦Õ](865)  Rrs[¦È_0,¦È,¦¤¦Õ](1375)  Rrs[¦È_0,¦È,¦¤¦Õ](1610)  Rrs[¦È_0,¦È,¦¤¦Õ](2250)  
  3.24817674E-02   1.21962701E-02   7.94418766E-04   5.72357264E-06   3.79596527E-06   1.14878283E-06   3.31600693E-02   1.25479522E-02   8.35022764E-04   6.25723998E-06   4.15206914E-06   1.25755544E-06 
  1.20768986E-02   1.90015171E-03   1.41902730E-04   1.12475506E-06   7.50542244E-07   2.30557455E-07   1.32660276E-02   2.10926350E-03   1.53581808E-04   1.20987455E-06   8.07086675E-07   2.47788621E-07 
  1.31109911E-02   3.10217663E-03   2.44985487E-04   2.00371974E-06   1.34424975E-06   4.16615687E-07   1.45246767E-02   3.41561960E-03   2.53486912E-04   2.02651104E-06   1.35680875E-06   4.19870568E-07 
  2.41979032E-02   7.85905977E-03   5.96110413E-04   4.74742986E-06   3.15989444E-06   9.63776346E-07   2.44692849E-02   7.89914971E-03   5.70353826E-04   4.45169390E-06   2.96346914E-06   9.04201030E-07 
  4.19230662E-03   5.98571070E-04   4.27783329E-05   3.38521535E-07   2.29155733E-07   7.29704750E-08   4.19548074E-03   6.01757522E-04   4.34466687E-05   3.46180428E-07   2.34517087E-07   7.47048579E-08 
  1.66878183E-02   7.43528154E-03   5.90332670E-04   4.73885628E-06   3.18930127E-06   9.96598039E-07   1.66129195E-02   7.37593351E-03   5.66996029E-04   4.38927826E-06   2.95210490E-06   9.21510987E-07 
  1.09810390E-02   2.09296745E-03   1.63941716E-04   1.30208976E-06   8.68377552E-07   2.66426471E-07   1.14576646E-02   2.06304871E-03   1.50023050E-04   1.18178749E-06   7.89096422E-07   2.42459129E-07 
  1.25522684E-02   3.14055776E-03   2.59401675E-04   2.22224687E-06   1.51943825E-06   4.89890833E-07   1.26489666E-02   3.17372364E-03   2.57348118E-04   2.11377801E-06   1.44104350E-06   4.63010019E-07 
  1.44445048E-02   3.59027111E-03   2.47753836E-04   1.93223469E-06   1.28924171E-06   3.95650318E-07   1.50710889E-02   3.76422031E-03   2.59096523E-04   2.02130068E-06   1.34783321E-06   4.09866627E-07 
  1.89239263E-02   4.95351658E-03   3.67237474E-04   2.85700181E-06   1.90278888E-06   5.81503712E-07   1.93692274E-02   5.04035852E-03   3.65226366E-04   2.84995667E-06   1.89906168E-06   5.81014166E-07 
  3.72871222E-02   1.69516027E-02   1.12134428E-03   7.79591451E-06   5.15984516E-06   1.55400327E-06   3.90968748E-02   1.80302475E-02   1.29221581E-03   9.58192157E-06   6.34173342E-06   1.90955038E-06 
  1.84121928E-02   4.13849424E-03   3.12192774E-04   2.51672465E-06   1.68422871E-06   5.20367204E-07   2.16795182E-02   4.95345552E-03   3.42465487E-04   2.69892051E-06   1.80571508E-06   5.56475957E-07 
  4.97997227E-03   6.96572273E-04   5.17649176E-05   4.29127651E-07   2.93305625E-07   9.50142829E-08   6.02026626E-03   8.30195016E-04   6.35513095E-05   5.38133379E-07   3.68165415E-07   1.19238249E-07 
  1.34031014E-02   3.26625386E-03   2.38542969E-04   1.91270873E-06   1.28102884E-06   3.96325780E-07   1.63232500E-02   3.99168188E-03   2.81136694E-04   2.22414107E-06   1.48848197E-06   4.59648459E-07 
  5.04711443E-03   2.59683707E-03   2.42587351E-04   2.04818967E-06   1.40773794E-06   4.60273508E-07   6.05291588E-03   3.06366732E-03   2.66655314E-04   2.25190030E-06   1.54763097E-06   5.14001699E-07 
  1.07017636E-02   3.33758090E-03   2.91095230E-04   2.39916976E-06   1.63392904E-06   5.24141162E-07   1.12699961E-02   3.47217812E-03   2.98667957E-04   2.53384600E-06   1.72936416E-06   5.57089337E-07 
  3.43744810E-03   5.02729098E-04   3.47064094E-05   2.67886945E-07   1.80790012E-07   5.73054605E-08   3.65128103E-03   5.26862586E-04   3.72733996E-05   2.91858508E-07   1.97237571E-07   6.26509792E-08 
  4.10674918E-03   5.11648397E-04   3.43630757E-05   2.49484577E-07   1.63089125E-07   4.81689653E-08   4.10306375E-03   5.10195756E-04   3.42578449E-05   2.48915880E-07   1.62744431E-07   4.80710610E-08 
  1.11366647E-02   1.65886061E-03   1.17316839E-04   9.30880243E-07   6.25864424E-07   1.95568420E-07   1.29717568E-02   1.98783559E-03   1.44642894E-04   1.16187324E-06   7.81238914E-07   2.44029162E-07 
  6.31756215E-03   2.08510744E-03   1.68865806E-04   1.40501679E-06   9.54941164E-07   3.05140010E-07   6.37269274E-03   2.11536990E-03   1.73200892E-04   1.44358183E-06   9.80808255E-07   3.13168787E-07 
  5.96645709E-03   2.95943717E-03   2.50384841E-04   2.03647308E-06   1.38264343E-06   4.40745433E-07   6.16188142E-03   3.03071795E-03   2.50053075E-04   2.04489957E-06   1.38992709E-06   4.44276844E-07 
  3.52677083E-03   4.61944820E-04   3.06742143E-05   2.19219791E-07   1.44167814E-07   4.33453051E-08   3.21458150E-03   3.82843256E-04   2.42083671E-05   1.71517515E-07   1.12802336E-07   3.39431456E-08 
  7.24903307E-03   1.23179323E-03   9.96747287E-05   8.47625442E-07   5.79652526E-07   1.87587139E-07   8.36846646E-03   1.36443777E-03   1.05544215E-04   8.76269690E-07   5.97734419E-07   1.91977311E-07 
  4.05002453E-03   5.39619587E-04   3.80918728E-05   2.93858846E-07   1.97053644E-07   6.15223650E-08   4.13847641E-03   5.37453035E-04   3.88403946E-05   3.05245099E-07   2.05094489E-07   6.41333211E-08 
  1.14365860E-02   2.20857099E-03   1.85201374E-04   1.57256900E-06   1.07227600E-06   3.44960237E-07   1.21020694E-02   2.25736594E-03   1.76108784E-04   1.46465300E-06   9.99020224E-07   3.21963689E-07 
  4.31646438E-03   9.27311985E-04   7.25841487E-05   6.07886317E-07   4.21051896E-07   1.40417099E-07   4.57894166E-03   9.77071534E-04   8.26133427E-05   7.29190236E-07   5.06615153E-07   1.69281747E-07 
  7.00676400E-03   1.18476399E-03   8.52103642E-05   6.78410469E-07   4.56789493E-07   1.43256214E-07   7.03516496E-03   1.20319824E-03   8.86374592E-05   7.11271983E-07   4.79109462E-07   1.50342676E-07 
  4.97708825E-03   6.67557150E-04   4.54904674E-05   3.30577690E-07   2.16378222E-07   6.40399795E-08   5.14383704E-03   7.12152140E-04   4.94214141E-05   3.60627552E-07   2.36103556E-07   6.98721613E-08 
  1.05505475E-02   2.15771249E-03   1.66346274E-04   1.30240871E-06   8.70621730E-07   2.68605955E-07   1.12847667E-02   2.13247654E-03   1.50736583E-04   1.19040344E-06   7.98737602E-07   2.48341083E-07 
  4.75069816E-03   6.48763575E-04   4.41066195E-05   3.25366746E-07   2.15035021E-07   6.49958571E-08   4.73446411E-03   6.42068100E-04   4.39256921E-05   3.24890288E-07   2.14699035E-07   6.49031379E-08 
  3.47235799E-02   2.28295440E-02   2.10087788E-03   1.38302614E-05   9.20869157E-06   2.81206790E-06   3.54425937E-02   2.33964694E-02   2.16989183E-03   1.44625951E-05   9.63303622E-06   2.94159046E-06 
  1.98854888E-02   9.63629671E-03   8.66000468E-04   7.02253377E-06   4.74710400E-06   1.49795383E-06   2.32443276E-02   1.15444687E-02   9.81970151E-04   7.47000586E-06   5.03956519E-06   1.58184472E-06 
  1.70162594E-02   4.44932889E-03   3.13308948E-04   2.45354950E-06   1.64121653E-06   5.06339376E-07   1.70159665E-02   4.45690688E-03   3.16167220E-04   2.48589401E-06   1.66331220E-06   5.13313099E-07 
