rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  1.34756842E-04   1.14043187E-04   8.80415233E-05   5.33410859E-05   4.28198424E-05   2.85809067E-05 
  2.39272216E-02   2.00597420E-02   1.29047146E-02   4.61220875E-03   3.06738492E-03   1.38948446E-03 
  2.37688840E-04   2.03156079E-04   1.32861955E-04   8.18787098E-05   6.98802080E-05   4.40545545E-05 
  6.05961866E-04   5.02874610E-04   3.66616846E-04   2.05035929E-04   1.62940796E-04   9.84400421E-05 
  2.60270285E-04   3.02392321E-04   3.37746436E-04   4.29457417E-04   4.33984651E-04   4.46927824E-04 
  2.56780511E-04   2.15213233E-04   1.49431547E-04   8.51084364E-05   7.23675335E-05   5.16497251E-05 
  1.05488591E-02   8.33067694E-03   5.10143616E-03   1.63172835E-03   1.01668926E-03   4.23244418E-04 
  1.75086080E-02   1.47917324E-02   1.03961837E-02   4.70070737E-03   3.27425197E-03   1.28933976E-03 
  7.97491586E-04   6.63097771E-04   4.57943494E-04   2.04466533E-04   1.46626194E-04   7.45135039E-05 
  8.81840342E-05   7.27034367E-05   5.05625580E-05   2.42721027E-05   1.85125311E-05   1.15748031E-05 
  1.32549864E-04   1.02918655E-04   6.43227319E-05   2.23873590E-05   1.41297929E-05   5.33255487E-06 
  8.44081207E-05   6.53575801E-05   4.11088982E-05   2.07512783E-05   1.71721182E-05   1.25581991E-05 
  2.07191860E-03   1.76031402E-03   1.12137035E-03   4.87216187E-04   3.88488406E-04   2.56424353E-04 
  1.45165047E-02   1.27268190E-02   8.33578556E-03   3.87050009E-03   3.25661166E-03   2.42035513E-03 
  5.41517471E-03   4.33329194E-03   3.04088949E-03   1.55627495E-03   1.24187861E-03   9.04939078E-04 
  8.02938917E-03   6.70639417E-03   4.62775502E-03   2.09522261E-03   1.52106576E-03   7.32150682E-04 
  1.79745096E-04   1.38876811E-04   8.55303734E-05   2.84886910E-05   1.71508588E-05   5.54414774E-06 
  1.78325664E-04   2.02456131E-04   2.14770235E-04   2.28970561E-04   2.32131676E-04   2.27445216E-04 
  7.76630437E-04   6.83062029E-04   5.99292951E-04   4.57891222E-04   4.03234926E-04   2.91396722E-04 
  5.56654277E-03   4.36679302E-03   2.49020306E-03   7.00760805E-04   4.24309683E-04   1.72211983E-04 
  1.08963000E-04   8.45305804E-05   5.38433847E-05   2.63764388E-05   2.06854719E-05   1.34875618E-05 
  9.97012000E-04   7.96067753E-04   5.39886443E-04   2.17127241E-04   1.35455621E-04   3.86939089E-05 
  1.69596925E-04   1.41247049E-04   9.96947002E-05   4.67105542E-05   3.31020520E-05   1.57997880E-05 
