t(555)  t(659)  t(865)  t(1375)  t(1610)  t(2250)  
  8.40471418E-01   8.96297649E-01   9.44421679E-01   9.75771095E-01   9.82038572E-01   9.90788900E-01 
  9.13965810E-01   9.53821897E-01   9.83014203E-01   9.96986362E-01   9.98334996E-01   9.99480852E-01 
  8.52792538E-01   9.20671485E-01   9.70808472E-01   9.94133269E-01   9.96238132E-01   9.98636963E-01 
  8.89620962E-01   9.37501970E-01   9.75069969E-01   9.35803005E-01   9.94815798E-01   9.96836437E-01 
  8.27131392E-01   8.96438436E-01   9.53478882E-01   9.87429075E-01   9.91705382E-01   9.95507582E-01 
  9.15566289E-01   9.53599341E-01   9.82730992E-01   9.97047445E-01   9.98382561E-01   9.99511400E-01 
  8.85878640E-01   9.34278663E-01   9.73284368E-01   9.93735483E-01   9.96229639E-01   9.98537715E-01 
  8.79184971E-01   9.33797402E-01   9.76312219E-01   9.95891752E-01   9.97698889E-01   9.99227813E-01 
  6.63702119E-01   7.61261330E-01   8.63580793E-01   9.55455740E-01   9.69907389E-01   9.82473370E-01 
  8.65770805E-01   9.13392569E-01   9.55652330E-01   9.82964349E-01   9.86996266E-01   9.91017845E-01 
  8.95237519E-01   9.44661611E-01   9.80725033E-01   9.96487881E-01   9.97947128E-01   9.99215897E-01 
  9.06003932E-01   9.50547193E-01   9.82165260E-01   9.96413940E-01   9.97827387E-01   9.99064942E-01 
  6.92822132E-01   7.55327329E-01   8.36421107E-01   9.09711361E-01   9.24369475E-01   9.40996978E-01 
  8.93035716E-01   9.36013800E-01   9.66857751E-01   9.87045414E-01   9.90392055E-01   9.94629408E-01 
  8.14307217E-01   8.85072125E-01   9.45570551E-01   9.83676212E-01   9.88792749E-01   9.93679278E-01 
  6.97371948E-01   7.50204157E-01   8.59935604E-01   9.53252159E-01   9.68674534E-01   9.79828336E-01 
  8.76493888E-01   9.31529901E-01   9.74171292E-01   9.95268404E-01   9.97331736E-01   9.99077908E-01 
  8.41165653E-01   9.04921847E-01   9.56275171E-01   9.84512223E-01   9.87934721E-01   9.91378518E-01 
  8.16302192E-01   8.73317225E-01   9.18246763E-01   9.62943090E-01   9.73438928E-01   9.87661178E-01 
  7.17715019E-01   8.00312833E-01   8.86475655E-01   9.48042611E-01   9.56928037E-01   9.65788329E-01 
  7.60967462E-01   8.14081139E-01   8.59373144E-01   8.77089273E-01   8.80387201E-01   8.86902006E-01 
  8.79055483E-01   9.32849283E-01   9.74404496E-01   9.93904695E-01   9.95936456E-01   9.97809801E-01 
  8.85563235E-01   9.34118819E-01   9.72595367E-01   9.88319871E-01   9.94658680E-01   9.97591387E-01 
  8.14581689E-01   8.77074669E-01   9.31947881E-01   9.74925452E-01   9.81110630E-01   9.87305987E-01 
  6.73927405E-01   7.36297894E-01   7.86070891E-01   7.97119797E-01   7.97431745E-01   8.09953522E-01 
  8.78699609E-01   9.26199615E-01   9.62438951E-01   9.88955604E-01   9.92894130E-01   9.96553201E-01 
  7.30146125E-01   8.13328611E-01   8.97567614E-01   9.65323542E-01   9.74734468E-01   9.83853483E-01 
  7.22815642E-01   8.04027708E-01   8.86960398E-01   9.58823905E-01   9.70320621E-01   9.81033839E-01 
  7.69036179E-01   8.45377971E-01   9.21088556E-01   9.74550591E-01   9.82686897E-01   9.91195404E-01 
  8.67038112E-01   9.26964728E-01   9.71623081E-01   9.94709704E-01   9.94064804E-01   9.98948612E-01 
  8.47507161E-01   9.05829738E-01   9.54516667E-01   9.86805334E-01   9.91227695E-01   9.71810745E-01 
  8.22308505E-01   8.82990312E-01   9.37212305E-01   9.77351825E-01   9.83450615E-01   9.89480735E-01 
  8.66750273E-01   9.24495621E-01   9.69048240E-01   9.91268391E-01   9.93743698E-01   9.96277493E-01 
  8.80043387E-01   9.34728454E-01   9.75049322E-01   9.89725986E-01   9.90873623E-01   9.97778390E-01 
  8.52632103E-01   9.11892748E-01   9.60092341E-01   9.87081058E-01   9.90121592E-01   9.92112680E-01 
  8.62409557E-01   9.24967229E-01   9.72087250E-01   9.94624746E-01   9.96725487E-01   9.98544934E-01 
  5.83220773E-01   6.78899452E-01   7.97108081E-01   9.22176147E-01   9.45335803E-01   9.68478836E-01 
  9.13809660E-01   9.54682293E-01   9.83938169E-01   9.92138364E-01   9.98488694E-01   9.99506482E-01 
  9.05057284E-01   9.49142691E-01   9.81560652E-01   9.96700159E-01   9.98164774E-01   9.99406560E-01 
  5.70981500E-01   6.64850725E-01   7.89461021E-01   9.20830826E-01   9.44774606E-01   9.66468080E-01 
  8.70083706E-01   9.16242311E-01   9.55830583E-01   9.82197795E-01   9.86246958E-01   9.90749987E-01 
  8.88956639E-01   9.40585587E-01   9.78864537E-01   9.96311950E-01   9.97948127E-01   9.99370105E-01 
  8.94714287E-01   9.43997255E-01   9.77912030E-01   9.97119914E-01   9.98525314E-01   9.99588847E-01 
