R_toa(412)  R_toa(443)  R_toa(486)  R_toa(551)  R_toa(671)  R_toa(745)  R_toa(862)  R_toa(1238)  R_toa(1610)  R_toa(2257)  
  4.09669489E-02   3.18219592E-02   2.31632442E-02   1.55474481E-02   6.30724511E-03   3.77444607E-03   2.17220192E-03   4.90993413E-04   1.89431370E-04   6.35431564E-05 
  2.92079000E-02   2.30922790E-02   1.69378229E-02   1.09396583E-02   4.80021392E-03   3.00616438E-03   1.74438869E-03   3.95318245E-04   1.49035433E-04   4.67958166E-05 
  4.62824225E-02   3.76039254E-02   2.78317148E-02   1.85306237E-02   9.52153909E-03   6.74736155E-03   4.44965012E-03   1.47375346E-03   5.98889865E-04   1.82029093E-04 
  4.93815019E-02   4.06836117E-02   3.20436289E-02   2.37545175E-02   1.25576206E-02   9.07460441E-03   6.54698233E-03   2.69661447E-03   1.23862414E-03   3.59937711E-04 
  4.82844553E-02   4.25829506E-02   3.64144361E-02   2.85404290E-02   2.10354582E-02   1.75111282E-02   1.34916674E-02   5.73855373E-03   2.64729180E-03   9.75058079E-04 
  2.95159930E-02   2.31129274E-02   1.76928398E-02   1.34267884E-02   5.81477322E-03   3.42335397E-03   2.12373966E-03   6.31687087E-04   3.29117835E-04   1.88234732E-04 
  3.75544771E-02   2.93921836E-02   2.18279909E-02   1.50226024E-02   6.76546838E-03   4.36313956E-03   2.73817677E-03   8.49580076E-04   3.92137324E-04   1.57298098E-04 
  3.63228983E-02   2.88844105E-02   2.06583253E-02   1.28408616E-02   5.89454906E-03   3.89811330E-03   2.36901786E-03   6.88345954E-04   3.16242182E-04   1.26796652E-04 
  4.33103838E-02   3.41834446E-02   2.59725882E-02   1.90149168E-02   7.85593938E-03   4.57918877E-03   2.71749843E-03   6.24648585E-04   2.16530473E-04   5.29160784E-05 
  6.13656899E-02   5.00392927E-02   3.72039802E-02   2.38946162E-02   1.28100120E-02   9.24630013E-03   6.19631503E-03   2.22954171E-03   1.18421676E-03   6.28970108E-04 
  2.74985890E-02   2.35683670E-02   2.06303354E-02   1.82252223E-02   1.11719087E-02   5.54807896E-03   3.57773652E-03   8.43527918E-04   2.56213264E-04   3.92876447E-05 
  4.75754710E-02   3.77964070E-02   2.97540085E-02   2.42610310E-02   9.76086029E-03   4.93893649E-03   2.87252145E-03   6.14492245E-04   2.21267701E-04   5.75265464E-05 
  6.79555263E-02   6.11695787E-02   5.88365900E-02   6.39821835E-02   7.87368428E-02   5.32517670E-02   3.89199801E-02   8.88275029E-03   5.38748793E-03   2.83292805E-03 
  3.99808239E-02   3.27502090E-02   2.51584984E-02   1.68468819E-02   9.25412792E-03   6.42491562E-03   4.20014788E-03   1.22255415E-03   4.42622922E-04   9.97112051E-05 
  4.60923715E-02   3.71881217E-02   2.80991124E-02   1.96948038E-02   9.41948947E-03   6.38717149E-03   4.20174132E-03   1.38969131E-03   5.97040641E-04   2.04859588E-04 
  5.23912303E-02   4.14808806E-02   3.07555490E-02   2.08964916E-02   8.61300974E-03   5.15832033E-03   2.98632023E-03   6.66177491E-04   2.49058703E-04   7.69297502E-05 
  3.15915215E-02   2.40337249E-02   1.74312172E-02   1.20387193E-02   6.21340597E-03   3.68472219E-03   2.25332368E-03   6.03776881E-04   2.56665834E-04   9.11814179E-05 
  4.47319347E-02   3.81798406E-02   3.33289422E-02   3.13325561E-02   1.63864170E-02   1.12775776E-02   9.86274456E-03   7.89336487E-03   6.85204478E-03   5.11907608E-03 
  3.76297594E-02   3.17601052E-02   2.56008343E-02   2.01278197E-02   8.90169583E-03   5.53968924E-03   3.59587620E-03   1.00637219E-03   3.33033191E-04   5.97893264E-05 
  4.20549946E-02   3.25700769E-02   2.36438641E-02   1.51764030E-02   7.27842814E-03   4.83698049E-03   3.02184189E-03   9.37953193E-04   4.24426445E-04   1.34566015E-04 
  2.92250353E-02   2.42509738E-02   1.96398232E-02   1.54050345E-02   7.75770109E-03   4.45411392E-03   2.79588661E-03   6.77964627E-04   2.34403449E-04   6.33918751E-05 
  5.04830833E-02   3.95673367E-02   2.81659042E-02   1.74178268E-02   8.21080373E-03   5.52170256E-03   3.38157870E-03   9.84386278E-04   4.33595675E-04   1.47402612E-04 
  3.38336348E-02   2.67725196E-02   1.91372398E-02   1.21035095E-02   5.42942843E-03   3.54797779E-03   2.14234607E-03   5.76688863E-04   2.28558461E-04   7.27419048E-05 
  3.34252010E-02   2.66355650E-02   2.19049235E-02   1.88947045E-02   7.44121116E-03   3.39443570E-03   1.95774625E-03   3.90168956E-04   1.41790792E-04   4.23985635E-05 
  4.35558664E-02   3.50186882E-02   2.70174229E-02   1.98584916E-02   9.54597153E-03   6.50639838E-03   4.59095372E-03   2.20810184E-03   1.50429215E-03   9.53459953E-04 
  4.04846349E-02   3.28628507E-02   2.71780828E-02   2.40421182E-02   1.18899489E-02   4.99242455E-03   2.91929597E-03   5.61125896E-04   2.10870677E-04   6.94514927E-05 
  4.45616018E-02   3.72520325E-02   2.91557182E-02   2.04316497E-02   1.07245529E-02   7.56716483E-03   5.04663469E-03   1.69120253E-03   8.67585760E-04   4.98047242E-04 
  5.43910995E-02   4.51913799E-02   3.69692817E-02   2.98298322E-02   1.61794643E-02   1.12884532E-02   7.96257591E-03   2.89060954E-03   1.20913419E-03   3.71674615E-04 
  3.78561705E-02   3.02542529E-02   2.51451687E-02   2.43341041E-02   1.34606616E-02   6.35010475E-03   4.41996792E-03   2.10098792E-03   1.61167514E-03   1.10852774E-03 
  3.75307117E-02   2.95453585E-02   2.30494260E-02   1.75477646E-02   7.45700644E-03   4.11787194E-03   2.44885299E-03   5.77077274E-04   2.31135443E-04   6.91063557E-05 
  4.29466017E-02   3.36548605E-02   2.60782976E-02   2.09215140E-02   9.63647106E-03   4.98540763E-03   2.97276661E-03   6.58098659E-04   2.42285804E-04   7.67274703E-05 
  3.01038041E-02   2.42398008E-02   1.82933837E-02   1.25005411E-02   5.41194369E-03   3.29194420E-03   1.92445080E-03   4.49023340E-04   1.76295781E-04   5.58228978E-05 
  5.02549561E-02   4.18049215E-02   3.26741370E-02   2.38096851E-02   1.37041993E-02   1.04693273E-02   7.81358354E-03   3.79875236E-03   2.33567711E-03   1.35741101E-03 
  3.32817382E-02   2.58740023E-02   1.86990876E-02   1.20536702E-02   5.13595845E-03   3.17311340E-03   1.82235917E-03   3.91858398E-04   1.34022474E-04   3.27050169E-05 
  5.22801278E-02   4.08213411E-02   2.98648939E-02   1.93592803E-02   8.85762449E-03   5.62224251E-03   3.30523664E-03   7.80176164E-04   3.12793384E-04   1.20476358E-04 
  6.00903801E-02   5.13023695E-02   4.25762227E-02   3.36359999E-02   2.02355831E-02   1.53787933E-02   1.12931112E-02   4.46975124E-03   1.95662147E-03   6.66314550E-04 
  5.35870050E-02   4.51534033E-02   3.90146039E-02   3.51606286E-02   1.69101564E-02   7.72006307E-03   4.82221896E-03   1.22844343E-03   4.86006365E-04   1.21645479E-04 
  4.51136865E-02   3.82312091E-02   3.47550063E-02   3.66813327E-02   1.86773738E-02   6.76075806E-03   4.26745621E-03   1.39310869E-03   9.76983287E-04   6.52257505E-04 
  4.50805807E-02   3.67550835E-02   2.95103436E-02   2.32354806E-02   1.37261950E-02   1.03526631E-02   8.21850512E-03   5.06798053E-03   3.88979723E-03   2.77170674E-03 
  5.09787452E-02   4.07322875E-02   3.06552241E-02   2.06773932E-02   1.02987070E-02   7.09592951E-03   4.79116579E-03   2.00398955E-03   1.34245331E-03   9.04130971E-04 
  5.14285955E-02   4.48646049E-02   3.83098048E-02   3.10842148E-02   2.02272248E-02   1.55975377E-02   1.16102566E-02   4.47630978E-03   1.81140774E-03   5.58579089E-04 
  4.24533589E-02   3.42703028E-02   2.48713382E-02   1.53220708E-02   6.87014901E-03   4.40502328E-03   2.54879949E-03   5.70873907E-04   2.08175434E-04   6.02584115E-05 
  3.23697577E-02   2.53152278E-02   1.91006354E-02   1.39288214E-02   5.77880183E-03   3.30358855E-03   1.92540737E-03   4.48585193E-04   1.81760477E-04   6.46964915E-05 
  4.20907493E-02   3.48757321E-02   2.87376403E-02   2.41424384E-02   9.10494264E-03   4.39068351E-03   2.53418088E-03   4.99425995E-04   1.79966212E-04   4.99883406E-05 
  4.03490558E-02   3.23137458E-02   2.49418992E-02   1.87523621E-02   7.38357196E-03   4.11611574E-03   2.41729169E-03   5.78131921E-04   2.49202188E-04   1.00073998E-04 
  3.39177625E-02   2.65657687E-02   2.06195105E-02   1.59532760E-02   7.03843548E-03   3.65539759E-03   2.11466897E-03   4.35133749E-04   1.62990174E-04   4.78845218E-05 
  5.00227359E-02   3.82237428E-02   2.68186931E-02   1.59949994E-02   7.23728289E-03   4.69883513E-03   2.68152646E-03   6.01281252E-04   2.23149757E-04   6.70860321E-05 
  3.07573695E-02   2.52251093E-02   1.93609175E-02   1.31701033E-02   7.68385529E-03   5.92668749E-03   4.46365573E-03   2.27027424E-03   1.42101583E-03   7.33470149E-04 
  4.00588972E-02   3.35326273E-02   2.40512395E-02   1.58799112E-02   6.50464219E-03   3.99776316E-03   2.42634433E-03   7.63598279E-04   4.35458582E-04   2.47832007E-04 
  4.24637979E-02   3.49417567E-02   2.66188817E-02   1.70246646E-02   9.29146284E-03   6.65421750E-03   4.36189628E-03   1.64870021E-03   1.07250209E-03   7.10890135E-04 
