rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  3.72155044E-03   4.17395658E-03   4.43209172E-03   4.39370382E-03   3.85789266E-03   3.47636038E-03   2.97980792E-03   2.13530890E-03   1.82645318E-03   1.56688542E-03 
  3.40658849E-02   3.44278218E-02   3.35179090E-02   3.06027873E-02   2.43303174E-02   2.06303025E-02   1.58243894E-02   6.74382723E-03   2.88815858E-03   9.91558111E-04 
  3.64722706E-04   3.92335022E-04   3.86188595E-04   3.48133238E-04   2.68532674E-04   2.28247718E-04   1.81239183E-04   1.03886579E-04   7.18843234E-05   5.02903235E-05 
  3.73104402E-04   3.61054473E-04   3.35150469E-04   2.96515979E-04   2.41186346E-04   2.15542277E-04   1.85636135E-04   1.26491149E-04   9.29889801E-05   6.40583691E-05 
  2.45526918E-04   2.40265269E-04   2.19530481E-04   1.85903971E-04   1.33579708E-04   1.10259661E-04   8.32902864E-05   4.09415479E-05   2.32127098E-05   1.29418407E-05 
  3.20940533E-04   3.24267663E-04   3.14331939E-04   2.93302773E-04   2.49259386E-04   2.23698116E-04   1.94600037E-04   1.36973140E-04   1.03481199E-04   7.39719449E-05 
  2.11584063E-04   2.05597185E-04   1.88590584E-04   1.65100877E-04   1.32875951E-04   1.18330808E-04   1.02077303E-04   6.98527580E-05   4.98520294E-05   2.94229179E-05 
  2.17859546E-05   2.93158305E-05   2.66613135E-05   2.57669731E-05   2.51472131E-05   2.52860835E-05   2.54373083E-05   2.68108780E-05   2.70228870E-05   2.35031995E-05 
  1.08431984E-02   1.11777143E-02   1.11466179E-02   1.04799958E-02   8.99504156E-03   8.13761733E-03   7.02057044E-03   4.71408938E-03   3.35442150E-03   2.04534099E-03 
  2.57798415E-04   2.93670293E-04   3.23014631E-04   3.52712326E-04   3.69323746E-04   3.68534231E-04   3.68108355E-04   3.41135359E-04   3.08919171E-04   2.48360502E-04 
  4.56392832E-03   5.73367195E-03   6.60899183E-03   6.84426124E-03   5.95540838E-03   5.23930860E-03   4.33142998E-03   3.05119453E-03   2.76335775E-03   2.51035141E-03 
