rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  7.03121803E-03   7.01984914E-03   6.73647263E-03   6.55985449E-03   6.08613603E-03   4.86035269E-03   3.97157444E-03   3.27074394E-03 
  3.30525791E-02   3.68897334E-02   3.99512777E-02   4.02082617E-02   3.97970112E-02   3.46358579E-02   2.89219932E-02   2.32791710E-02 
  2.36123277E-03   2.47054376E-03   2.46889456E-03   2.42059952E-03   2.26868820E-03   1.78743281E-03   1.40983798E-03   1.10134880E-03 
  5.97672851E-04   5.79815665E-04   5.35188421E-04   5.12444369E-04   4.61591788E-04   3.47800473E-04   2.74136616E-04   2.18746557E-04 
  9.22420316E-03   1.02920832E-02   1.12947644E-02   1.14941768E-02   1.17850613E-02   1.16452586E-02   1.13576486E-02   1.11117760E-02 
  5.74415309E-04   6.18288995E-04   6.34636342E-04   6.27010843E-04   6.01588777E-04   5.03678231E-04   4.27981685E-04   3.66765375E-04 
  7.39110331E-04   7.16366738E-04   6.54179922E-04   6.23202947E-04   5.54960989E-04   4.08518683E-04   3.19147225E-04   2.56445756E-04 
  1.59174303E-04   1.59134673E-04   1.54751974E-04   1.51336725E-04   1.44275374E-04   1.25518354E-04   1.12122271E-04   1.00737100E-04 
  1.17128336E-03   1.14801399E-03   1.05995964E-03   1.01503034E-03   9.15317506E-04   7.07025422E-04   5.80433523E-04   4.89611109E-04 
  1.03204247E-01   1.28491063E-01   1.58010822E-01   1.66071834E-01   1.78348328E-01   1.77536483E-01   1.56909591E-01   1.28080865E-01 
  7.81226119E-05   8.41875619E-05   8.64711997E-05   8.54434232E-05   8.23859688E-05   7.08966931E-05   6.24471304E-05   5.62433471E-05 
  7.86383928E-04   8.28270827E-04   8.32667837E-04   8.20265664E-04   7.80766997E-04   6.52889368E-04   5.59863657E-04   4.87000197E-04 
  3.82834146E-03   4.07781498E-03   4.18099630E-03   4.13733458E-03   3.98608938E-03   3.37712506E-03   2.88855563E-03   2.49731512E-03 
  4.69958608E-04   4.48613435E-04   4.07952811E-04   3.90218641E-04   3.51965185E-04   2.71742304E-04   2.19296680E-04   1.79606087E-04 
  5.78883693E-04   5.70271769E-04   5.35742547E-04   5.17421128E-04   4.75519018E-04   3.77438750E-04   3.15590310E-04   2.66415382E-04 
  1.02075470E-03   9.74952909E-04   8.87111890E-04   8.49370776E-04   7.68451683E-04   6.00102465E-04   4.93581046E-04   4.13744286E-04 
  2.29731560E-03   2.49589321E-03   2.61590700E-03   2.61254570E-03   2.53221553E-03   2.15636574E-03   1.80968392E-03   1.48393751E-03 
  2.96582443E-02   3.12958864E-02   3.16042856E-02   3.10852934E-02   2.93077970E-02   2.30470397E-02   1.79627704E-02   1.37305247E-02 
  1.03021787E-02   1.02271320E-02   9.94604956E-03   9.75114617E-03   9.40383531E-03   8.44923405E-03   7.79474624E-03   7.14994058E-03 
  1.93577871E-02   1.97882091E-02   1.93417609E-02   1.88848675E-02   1.76297269E-02   1.41360663E-02   1.16550688E-02   9.75508957E-03 
  3.52893679E-02   3.67530364E-02   3.56067344E-02   3.62776426E-02   3.44587441E-02   2.84260505E-02   2.33561702E-02   1.89426489E-02 
  2.76663421E-02   2.70296120E-02   2.54446882E-02   2.46899831E-02   2.28551767E-02   1.86738084E-02   1.57767702E-02   1.32232791E-02 
  9.71459937E-04   9.90863417E-04   9.70597736E-04   9.52790820E-04   8.88575964E-04   7.23151168E-04   6.05213338E-04   5.14918452E-04 
  1.48585805E-04   1.57328523E-04   1.58129545E-04   1.54876880E-04   1.45995276E-04   1.20215262E-04   1.01153259E-04   8.62020480E-05 
  1.44692731E-03   1.47955407E-03   1.41000518E-03   1.35496093E-03   1.21587789E-03   8.64988223E-04   6.38436228E-04   4.69054552E-04 
  5.09605266E-03   5.02138394E-03   4.77687507E-03   4.63028546E-03   4.32070912E-03   3.59785638E-03   3.07851854E-03   2.66067086E-03 
  2.26447538E-03   2.19592320E-03   2.01607327E-03   1.92887688E-03   1.73628358E-03   1.33456928E-03   1.08813741E-03   9.09814607E-04 
  2.46747537E-02   2.63266051E-02   2.74041270E-02   2.74527856E-02   2.70477234E-02   2.43293075E-02   2.14994961E-02   1.85761823E-02 
  1.29912350E-03   1.59285787E-03   1.89746470E-03   1.97255023E-03   2.07647333E-03   2.06402142E-03   1.95469844E-03   1.85141414E-03 
  2.31545968E-03   2.22938555E-03   2.08056851E-03   2.01219513E-03   1.87204678E-03   1.56779732E-03   1.35859067E-03   1.18797839E-03 
  1.63654613E-02   1.68602153E-02   1.66238032E-02   1.62338332E-02   1.51108130E-02   1.16889409E-02   9.02860072E-03   6.85891912E-03 
  5.68356995E-04   5.78604976E-04   5.65942597E-04   5.50464747E-04   5.13555985E-04   4.12845921E-04   3.39411949E-04   2.79699252E-04 
  4.00184037E-03   3.89339575E-03   3.65173419E-03   3.53087233E-03   3.25850902E-03   2.64133708E-03   2.21077869E-03   1.86857093E-03 
  4.09411178E-04   4.17505519E-04   4.20881464E-04   4.19409826E-04   4.13777698E-04   3.92430130E-04   3.74949441E-04   3.59816073E-04 
  7.46386027E-03   7.35796682E-03   6.99937908E-03   6.81150525E-03   6.39207245E-03   5.42477638E-03   4.80187194E-03   4.31540452E-03 
  4.61299570E-04   4.45913988E-04   4.06037142E-04   3.86727746E-04   3.44214554E-04   2.54911944E-04   1.99822915E-04   1.60222963E-04 
  2.60294528E-02   2.70367516E-02   2.68508119E-02   2.63277453E-02   2.48374365E-02   2.06235612E-02   1.75331001E-02   1.51438900E-02 
  6.01454802E-03   6.08141625E-03   5.86051214E-03   5.70969353E-03   5.31640891E-03   4.26586172E-03   3.52139742E-03   2.91551243E-03 
  2.26936663E-02   2.30601833E-02   2.36643469E-02   2.35339323E-02   2.38607131E-02   2.21683785E-02   2.09876399E-02   1.98426210E-02 
  2.20921301E-04   2.38994688E-04   2.46433723E-04   2.43885342E-04   2.35126094E-04   2.03127444E-04   1.80292571E-04   1.63258543E-04 
  2.03500058E-02   1.98892485E-02   1.87480625E-02   1.81326038E-02   1.67131043E-02   1.31913368E-02   1.06502660E-02   8.53621163E-03 
  1.69521932E-02   1.72183964E-02   1.69910467E-02   1.67342609E-02   1.60625483E-02   1.42112467E-02   1.29667188E-02   1.20121710E-02 
