R_toa(412)  R_toa(443)  R_toa(490)  R_toa(510)  R_toa(555)  R_toa(670)  R_toa(765)  R_toa(865)  
  3.29969533E-02   2.73927148E-02   2.34322462E-02   2.27334044E-02   2.15313121E-02   8.31822397E-03   2.62936626E-03   2.36756846E-03 
  5.14563593E-02   4.30357908E-02   3.55502534E-02   3.32090939E-02   2.75201681E-02   1.14135112E-02   5.02415365E-03   5.01315112E-03 
  4.44806602E-02   3.58215128E-02   2.84302026E-02   2.65900621E-02   2.23327845E-02   8.28668848E-03   3.45547516E-03   2.92916512E-03 
  3.96826740E-02   3.08976481E-02   2.21923422E-02   1.97316579E-02   1.49875611E-02   6.55014954E-03   3.20729060E-03   2.71078755E-03 
  4.56969043E-02   3.71977742E-02   3.08062323E-02   2.96948967E-02   2.96380809E-02   1.19140353E-02   4.03227206E-03   3.44962758E-03 
  2.22619247E-02   1.79717424E-02   1.29013046E-02   1.11550420E-02   7.82556062E-03   4.07547529E-03   1.95703782E-03   1.96194346E-03 
  5.93255031E-02   5.24025097E-02   4.36736475E-02   4.00032832E-02   3.21589406E-02   2.17072013E-02   1.23935663E-02   1.22561812E-02 
  4.88682863E-02   4.11538923E-02   3.47747009E-02   3.33211718E-02   3.08364643E-02   1.56974947E-02   8.40761532E-03   8.56537895E-03 
  5.24021916E-02   4.50760970E-02   3.75027599E-02   3.49670611E-02   2.90792077E-02   1.74798542E-02   1.01720798E-02   1.04369839E-02 
  8.18942677E-02   7.18042921E-02   5.95003997E-02   5.63583778E-02   5.03142917E-02   3.34073193E-02   1.67583282E-02   1.78113488E-02 
  7.00524424E-02   6.04319233E-02   4.98944263E-02   4.61703392E-02   3.77622716E-02   2.43965129E-02   1.54699042E-02   1.53971054E-02 
  2.49602279E-02   2.00079537E-02   1.55423942E-02   1.44427610E-02   1.25174149E-02   5.03476865E-03   2.00500701E-03   1.82856273E-03 
  5.58634913E-02   4.50459926E-02   3.54075432E-02   3.34001546E-02   3.31604971E-02   1.73690361E-02   5.00554789E-03   4.45720587E-03 
  3.75703123E-02   3.01082488E-02   2.39396564E-02   2.21771784E-02   2.20308446E-02   8.18674460E-03   3.00128049E-03   2.63892841E-03 
  4.51873912E-02   3.63984846E-02   2.85896044E-02   2.68136764E-02   2.54447931E-02   1.21875875E-02   5.25337673E-03   5.04376256E-03 
  3.44944160E-02   2.79689534E-02   2.16384941E-02   1.97675438E-02   1.57751111E-02   6.50523724E-03   2.88368936E-03   2.63727858E-03 
  3.29922430E-02   2.88084735E-02   2.37638353E-02   2.18483779E-02   1.77892471E-02   1.27186259E-02   7.58184566E-03   8.68649526E-03 
