t(412)  t(443)  t(490)  t(510)  t(555)  t(670)  t(765)  t(865)  
  8.33963509E-01   8.70945095E-01   9.10038000E-01   9.20748975E-01   9.39156014E-01   9.60795110E-01   9.69949596E-01   9.75483246E-01 
  8.41285345E-01   8.80808271E-01   9.21259253E-01   9.32191812E-01   9.50413982E-01   9.73464625E-01   9.83344783E-01   9.87340027E-01 
  6.02449166E-01   6.53864325E-01   7.17840210E-01   7.38971489E-01   7.79740201E-01   8.48251319E-01   8.85337776E-01   9.06099329E-01 
  8.68838293E-01   8.99122178E-01   9.29829422E-01   9.38163359E-01   9.51510738E-01   9.74318437E-01   9.83589745E-01   9.86736745E-01 
  7.28034590E-01   7.74724511E-01   8.28723131E-01   8.45748055E-01   8.78164807E-01   9.30378726E-01   9.53079852E-01   9.62896942E-01 
  5.57474422E-01   5.92880456E-01   6.40338747E-01   6.58119749E-01   6.96132327E-01   7.73642808E-01   8.19103397E-01   8.52691372E-01 
  7.18056294E-01   7.61015933E-01   8.10582941E-01   8.26356405E-01   8.56453765E-01   9.07268909E-01   9.32355084E-01   9.45847261E-01 
  7.92858629E-01   8.39508515E-01   8.89826953E-01   9.04130114E-01   9.28970159E-01   9.63712354E-01   9.78524541E-01   9.84014879E-01 
  8.22489360E-01   8.55335544E-01   8.92663859E-01   9.04446050E-01   9.27470477E-01   9.63901581E-01   9.78638396E-01   9.83921007E-01 
  7.68980561E-01   8.09803966E-01   8.58513264E-01   8.74300925E-01   9.04749216E-01   9.52295069E-01   9.71553406E-01   9.78432226E-01 
  4.69653687E-01   5.02618406E-01   5.47486612E-01   5.63951503E-01   5.99236056E-01   6.73955048E-01   7.22102325E-01   7.62371008E-01 
  8.09072353E-01   8.51935246E-01   8.98103780E-01   9.10920322E-01   9.31227133E-01   9.48022898E-01   9.56068184E-01   9.62768304E-01 
  8.28070480E-01   8.66560655E-01   9.08217823E-01   9.19997368E-01   9.39839185E-01   9.72809696E-01   9.78854849E-01   9.86266572E-01 
  6.67495049E-01   7.31164459E-01   8.05813653E-01   8.28335381E-01   8.69141351E-01   9.28498896E-01   9.55458328E-01   9.65100443E-01 
  7.20653108E-01   7.65714102E-01   8.21491685E-01   8.39713363E-01   8.74371218E-01   9.32393348E-01   9.54422307E-01   9.63669015E-01 
  7.14792078E-01   7.68443387E-01   8.31801513E-01   8.51473196E-01   8.87912109E-01   9.41189670E-01   9.65110852E-01   9.73940944E-01 
  7.81785832E-01   8.27232316E-01   8.76857233E-01   8.91612002E-01   9.18463154E-01   9.58922296E-01   9.76056763E-01   9.82077959E-01 
  8.86093818E-01   9.12212112E-01   9.38177450E-01   9.45633979E-01   9.58336865E-01   9.80631102E-01   9.88695990E-01   9.91464924E-01 
  7.68524567E-01   8.13054676E-01   8.64309936E-01   8.80284519E-01   9.10238434E-01   9.55052697E-01   9.73205581E-01   9.79810912E-01 
  8.19703676E-01   8.55831410E-01   8.94877759E-01   9.06453791E-01   9.27774563E-01   9.60746692E-01   9.73964872E-01   9.79225536E-01 
  8.27128748E-01   8.60389506E-01   8.97707106E-01   9.09332138E-01   9.31551573E-01   9.66422017E-01   9.80360470E-01   9.85220883E-01 
  7.82756447E-01   8.19379725E-01   8.57038732E-01   8.68183069E-01   8.90147335E-01   9.29970803E-01   9.38620863E-01   9.48487948E-01 
  8.54783965E-01   8.89604412E-01   9.25292419E-01   9.35212481E-01   9.52323574E-01   9.75519123E-01   9.85009777E-01   9.88607888E-01 
  7.95212956E-01   8.33231866E-01   8.73780263E-01   8.85349478E-01   9.05848389E-01   9.31711626E-01   9.43267555E-01   9.50382911E-01 
  8.17149445E-01   8.55477147E-01   8.97681741E-01   9.10321684E-01   9.33228431E-01   9.66739249E-01   9.80669441E-01   9.85563281E-01 
  8.51097238E-01   8.83005147E-01   9.16324071E-01   9.26209304E-01   9.44075175E-01   9.72101078E-01   9.83331479E-01   9.87301833E-01 
  8.55744029E-01   8.87155074E-01   9.20432853E-01   9.30212819E-01   9.48194907E-01   9.74599530E-01   9.85049823E-01   9.88476839E-01 
